nome;clima;natura;citta;budget;difficolta;servizi
Giappone;Temperato;4;5;3;2;Eccellenti
Islanda;Freddo;5;2;3;3;Buoni
Thailandia;Caldo;4;3;1;2;Medi
Perù;Temperato;5;2;2;4;Base
Spagna;Caldo;3;4;2;1;Eccellenti
Marocco;Caldo;4;4;1;3;Medi
Norvegia;Freddo;5;3;3;2;Eccellenti
Egitto;Caldo;3;4;1;3;Medi
Australia;Caldo;5;4;3;2;Eccellenti
Italia;Temperato;4;5;2;1;Eccellenti
Francia;Temperato;4;5;3;1;Eccellenti
Grecia;Caldo;4;4;2;1;Buoni
Portogallo;Temperato;4;4;2;1;Buoni
Germania;Temperato;3;5;2;1;Eccellenti
Regno Unito;Temperato;3;5;3;1;Eccellenti
Svizzera;Temperato;5;4;3;1;Eccellenti
Austria;Temperato;5;4;2;1;Eccellenti
Olanda;Temperato;2;5;3;1;Eccellenti
Irlanda;Temperato;4;4;3;1;Buoni
Svezia;Freddo;5;4;3;1;Eccellenti
Finlandia;Freddo;5;3;3;1;Eccellenti
Danimarca;Temperato;3;4;3;1;Eccellenti
Canada;Freddo;5;4;3;2;Eccellenti
Stati Uniti;Temperato;4;5;3;1;Eccellenti
Messico;Caldo;4;4;1;2;Medi
Costarica;Caldo;5;2;2;2;Buoni
Brasile;Caldo;5;3;2;3;Medi
Argentina;Temperato;5;4;1;2;Medi
Cile;Temperato;5;3;2;2;Buoni
Colombia;Caldo;5;3;1;3;Medi
Cuba;Caldo;4;3;1;2;Base
Kenya;Caldo;5;2;2;3;Medi
Tanzania;Caldo;5;1;2;3;Medi
Sudafrica;Temperato;5;4;2;2;Buoni
Madagascar;Caldo;5;1;1;4;Base
Giordania;Caldo;4;3;2;2;Buoni
Emirati Arabi;Caldo;2;4;3;1;Eccellenti
Oman;Caldo;4;2;2;2;Buoni
India;Caldo;4;5;1;4;Medi
Nepal;Temperato;5;2;1;4;Base
Maldive;Caldo;5;1;3;1;Eccellenti
Sri Lanka;Caldo;4;2;1;2;Medi
Vietnam;Caldo;4;3;1;2;Medi
Cambogia;Caldo;3;4;1;3;Base
Indonesia;Caldo;5;3;1;2;Medi
Filippine;Caldo;5;2;1;3;Base
Malaysia;Caldo;4;4;1;2;Buoni
Singapore;Caldo;2;5;3;1;Eccellenti
Corea del Sud;Temperato;3;5;2;1;Eccellenti
Nuova Zelanda;Temperato;5;3;3;2;Eccellenti
Turchia;Temperato;4;5;1;2;Buoni
Croazia;Temperato;4;3;2;1;Buoni
Albania;Temperato;4;3;1;2;Medi
Montenegro;Temperato;4;2;1;2;Medi
Repubblica Ceca;Temperato;2;5;1;1;Eccellenti
Ungheria;Temperato;2;5;1;1;Buoni
Polonia;Temperato;3;4;1;1;Buoni
Romania;Temperato;4;3;1;2;Medi
Georgia;Temperato;5;3;1;3;Medi
Belgio;Temperato;2;5;3;1;Eccellenti
Malta;Caldo;3;4;2;1;Buoni
Cipro;Caldo;3;3;2;1;Buoni
Slovenia;Temperato;5;3;2;1;Eccellenti
Slovacchia;Temperato;4;3;1;1;Buoni
Bulgaria;Temperato;4;3;1;2;Medi
Serbia;Temperato;3;4;1;2;Medi
Bosnia ed Erzegovina;Temperato;4;3;1;2;Medi
Estonia;Freddo;3;4;2;1;Eccellenti
Lettonia;Freddo;3;3;1;1;Buoni
Lituania;Freddo;3;3;1;1;Buoni
Lussemburgo;Temperato;2;3;3;1;Eccellenti
Panama;Caldo;4;3;2;2;Buoni
Guatemala;Caldo;4;3;1;3;Medi
Giamaica;Caldo;4;2;2;2;Medi
Repubblica Dominicana;Caldo;4;2;2;2;Buoni
Bahamas;Caldo;4;1;3;1;Eccellenti
Uruguay;Temperato;3;3;2;1;Buoni
Bolivia;Temperato;5;2;1;4;Base
Ecuador;Caldo;5;3;1;3;Medi
